image,fold,set,status,full_path
cUMznzMsuV.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/cUMznzMsuV.jpg
cheWWouKoz.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/cheWWouKoz.jpg
nwOhbmhYxy.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/nwOhbmhYxy.jpg
opYlvxALph.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/opYlvxALph.jpg
GCXYbvgFbl.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/GCXYbvgFbl.jpg
ktvPEReKKD.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/ktvPEReKKD.jpg
zRUXmNwmXO.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/zRUXmNwmXO.jpg
RVfvuktUWk.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/RVfvuktUWk.jpg
ifloKPxLEO.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/ifloKPxLEO.jpg
HfDaFVOSQe.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/HfDaFVOSQe.jpg
ORqKqiEchs.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/ORqKqiEchs.jpg
PAtcLUfdhg.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/PAtcLUfdhg.jpg
XLGFaBIXOu.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/XLGFaBIXOu.jpg
gNnIeJIEbm.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/gNnIeJIEbm.jpg
jComyRCQAk.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/jComyRCQAk.jpg
XEUSxJtXPx.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/XEUSxJtXPx.jpg
VvwdoyTpja.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/VvwdoyTpja.jpg
JjVVvIujmS.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/JjVVvIujmS.jpg
luHAZplNaQ.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/luHAZplNaQ.jpg
okQkLOWAQQ.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/okQkLOWAQQ.jpg
rFdvgGxVEm.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/rFdvgGxVEm.jpg
jkcCuQBqzz.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/jkcCuQBqzz.jpg
XiPoHpxZQO.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/XiPoHpxZQO.jpg
sOTWjPwrGD.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/sOTWjPwrGD.jpg
rBfserKCZu.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/rBfserKCZu.jpg
dpnLPhNxIT.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/dpnLPhNxIT.jpg
feUJCluphS.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/feUJCluphS.jpg
wtyadAfYpa.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/wtyadAfYpa.jpg
eUlMjjqkFp.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/eUlMjjqkFp.jpg
KPtwcRtFch.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/KPtwcRtFch.jpg
SlkpNPpBiW.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/SlkpNPpBiW.jpg
UiMckVWnSl.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/UiMckVWnSl.jpg
XlMgMVrOxx.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/XlMgMVrOxx.jpg
bpPmEmXTaU.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/bpPmEmXTaU.jpg
KAfXGbouDa.jpg,Fold8,train,normal,data/practica_DL_UOC_2022/Fold8/train/normal/KAfXGbouDa.jpg
